id,xpos,ypos
n_id0,-2.0937591,57.1498406
n_id1,-2.0939704,57.1498669
n_id2,-2.0938017,57.1499622
n_id3,-2.0937372,57.1497551
n_id4,-2.0934821,57.1499186
n_id5,-2.0938154,57.1500208
n_id6,-2.0951064,57.1491381
n_id7,-2.0953169,57.1489817
n_id8,-2.0951196,57.1492087
n_id9,-2.0930009,57.1492676
n_id10,-2.0929592,57.1492597
n_id11,-2.0929922,57.1492054
n_id12,-2.094737,57.1494138
n_id13,-2.0950688,57.1491671
n_id14,-2.0946768,57.1494114
n_id15,-2.0938952,57.1503797
n_id16,-2.093847,57.1501555
n_id17,-2.0950495,57.1495413
n_id18,-2.0950061,57.1495585
n_id19,-2.0950368,57.1495793
n_id20,-2.0942049,57.1493897
n_id21,-2.0942487,57.1493977
n_id22,-2.0941759,57.1493607
n_id23,-2.0942116,57.149427
n_id24,-2.0942367,57.1496545
n_id25,-2.0941897,57.1496965
n_id26,-2.094276,57.1496447
n_id27,-2.0940519,57.1498826
n_id28,-2.0948711,57.1501999
n_id29,-2.0947253,57.1501161
n_id30,-2.0947629,57.1501697
n_id31,-2.0935989,57.1491342
n_id32,-2.0929853,57.149169
